Funder,Year,GLRI Amount,Project Type,Project Title,Recipient Name,Project Description,Focus Area,Project Start Date,Project End Date,Affected States,Latitude,Longitude
ATSDR,2010,"$5,000,000 ",New Project,Biomonitoring of Great Lakes populations,Dept. of HHS-Agency for Toxic Substances and Disease Registry,"The Agency for Toxic Substances and Disease Registry established programs with Minnesota, Michigan and New York health departments to measure environmental toxin levels in people (measuring toxins in blood & urine samples) who live in the Great Lakes basin. The purpose is to see if there is a higher amount of toxins in people with greater exposure to toxins, such as people who eat Great Lakes fish.  This information will guide actions that the state health departments take to protect people.",1 - Toxic Substances and Areas of Concern,9/10/2010,9/30/2016,Multi-state,46.78509,-92.103324
ATSDR,2010,"$500,000 ",New Project,Public health support for Brownfields sites in Great Lakes.,Dept. of HHS-Agency for Toxic Substances and Disease Registry,"The Agency for Toxic Substances and Disease Registry and its partners in state and local health departments will coordinate with Environmental Protection Agency (EPA), state and local officials and stakeholders to incorporate public health considerations early in the land use and redevelopment decision process for Brownfields/land reuse/redevelopment sites including the Great Lakes Areas of Concern.",1 - Toxic Substances and Areas of Concern,9/10/2010,9/30/2016,Multi-state,43.241451,-86.249199
ATSDR,2011,"$2,195,661 ",Continuation,Biomonitoring of Great Lakes populations,Dept. of HHS-Agency for Toxic Substances and Disease Registry,"The Agency for Toxic Substances and Disease Registry established programs with Minnesota, Michigan and New York health departments to measure environmental toxin levels in people (measuring toxins in blood & urine samples) who live in the Great Lakes basin. The purpose is to see if there is a higher amount of toxins in people with greater exposure to toxins, such as people who eat Great Lakes fish.  This information will guide actions that the state health departments take to protect people.",1 - Toxic Substances and Areas of Concern,9/10/2010,9/30/2016,Multi-state,42.885377,-78.87199
ATSDR,2011,"$195,600 ",Increase,Public health support for Brownfields sites in Great Lakes.,Dept. of HHS-Agency for Toxic Substances and Disease Registry,"The Agency for Toxic Substances and Disease Registry and its partners in state and local health departments will coordinate with Environmental Protection Agency (EPA), state and local officials and stakeholders to incorporate public health considerations early in the land use and redevelopment decision process for Brownfields/land reuse/redevelopment sites including the Great Lakes Areas of Concern.",1 - Toxic Substances and Areas of Concern,9/10/2011,9/30/2016,NY,43.123531,-79.043103
ATSDR,2012,"$2,200,000 ",Continuation,Biomonitoring of Great Lakes populations,Dept. of HHS-Agency for Toxic Substances and Disease Registry,"The Agency for Toxic Substances and Disease Registry established programs with Minnesota, Michigan and New York health departments to measure environmental toxin levels in people (measuring toxins in blood & urine samples) who live in the Great Lakes basin. The purpose is to see if there is a higher amount of toxins in people with greater exposure to toxins, such as people who eat Great Lakes fish.  This information will guide actions that the state health departments take to protect people.",1 - Toxic Substances and Areas of Concern,9/10/2010,9/30/2016,Multi-state,42.885377,-78.87199
ATSDR,2013,"$525,000 ",New Project,Biomonitoring of Great Lakes Populations,Dept. of HHS-Agency for Toxic Substances and Disease Registry,"The Agency for Toxic Substances and Disease Registry funded a cooperative agreement program with the New York state health department to measure environmental toxin levels in people (measuring toxins in blood & urine samples) who live in Syracuse, NY and eat fish caught from Onondaga Lake. The purpose is to see if there is a higher amount of toxins in people with greater exposure risk.  This information will guide actions that the state health department takes to protect people.",1 - Toxic Substances and Areas of Concern,3/3/2014,9/30/2018,NY,43.261206,-77.080078
ATSDR,2013,"$250,000 ",New Project,Healthcare Provider Outreach on Environmental Exposure Risks in the Great Lakes,Dept. of HHS-Agency for Toxic Substances and Disease Registry,"The Agency for Toxic Substances and Disease Registry will promote better understanding among healthcare providers that serving at risk children and women in their reproductive years, of the potential exposure risks from consumption of Great Lakes fish that may be contaminated with chemicals with reproductive and developmental toxicity. Activities of this project include the development of an ATSDR Case Study in Environmental Medicine (CSEM) that addresses how to assess, counsel and manage patients when there may be health concerns about chemical exposure risks from fish consumption. A Great Lakes Symposium on Reproductive Health will also be sponsored will the healthcare provider community to discuss how to prevent adverse reproductive outcomes due to environmental exposures. This educational outreach project will also support the evaluation of the clinical relevance of the findings of the ATSDR Biomonitoring of Great Lakes Populations project that has been funded by GLRI.",1 - Toxic Substances and Areas of Concern,9/29/2014,9/30/2018,MN,44,-85
ATSDR,2014,"$800,000 ",Continuation,Biomonitoring of Great Lakes populations,Dept. of HHS-Agency for Toxic Substances and Disease Registry,"The Agency for Toxic Substances and Disease Registry funded a cooperative agreement program with the New York state health department to measure environmental toxin levels in people (measuring toxins in blood & urine samples) who live in Syracuse, NY and eat fish caught from Onondaga Lake. The purpose is to see if there is a higher amount of toxins in people with greater exposure risk.  This information will guide actions that the state health department takes to protect people.",1 - Toxic Substances and Areas of Concern,3/3/2015,9/30/2019,NY,43.261206,-77.080078
ATSDR,2014,"$249,000 ",Continuation,Healthcare Provider Outreach on Environmental Exposure Risks in the Great Lakes,Dept. of HHS-Agency for Toxic Substances and Disease Registry,"The Agency for Toxic Substances and Disease Registry will promote better understanding among healthcare providers that serving at risk children and women in their reproductive years, of the potential exposure risks from consumption of Great Lakes fish that may be contaminated with chemicals with reproductive and developmental toxicity. Activities of this project include the development of an ATSDR Case Study in Environmental Medicine (CSEM) that addresses how to assess, counsel and manage patients when there may be health concerns about chemical exposure risks from fish consumption. A Great Lakes Symposium on Reproductive Health will also be sponsored will the healthcare provider community to discuss how to prevent adverse reproductive outcomes due to environmental exposures. This educational outreach project will also support the evaluation of the clinical relevance of the findings of the ATSDR Biomonitoring of Great Lakes Populations project that has been funded by GLRI.",1 - Toxic Substances and Areas of Concern,9/29/2014,9/30/2019,MN,44,-85
ATSDR,2015,"$1,047,739 ",New Project,Biomonitoring Legacy and Emerging Great Lakes Contaminants in Susceptible Great Lakes Populations,Dept. of HHS-Agency for Toxic Substances and Disease Registry,"The Agency for Toxic Substances and Disease Registry is scheduled to fund (by June 1, 2016) a cooperative agreement program to conduct measurements of legacy contaminants and chemicals of emerging concern in people who live in a Great Lakes area with high levels of contaminants and who eat locally caught fish. The target study area will be unique from those monitored previously. The purpose is to see if there is a higher amount of toxins in people with greater exposure risk.  This information will guide actions that the funded state health department takes to protect people.",1 - Toxic Substances and Areas of Concern,7/1/2016,6/30/2020,WI,43,-88
